review,note,niveau,date,platform,niveau_classe,note_ref,review_cleaned,topic,sentiment_textblob,label_textblob,sentiment_vader,label_vader
"Un Ea sport FC dans la continuité, un mode carrière améliorer mais le problème c'est le prix.A la rigueur, si le jeu était un 40 euros max, je lui aurais mis 18/20 car les améliorations et les nouveautés sont assez léger.  Dans l'ensemble cela reste un bon EA Sports FC 25.",15,55.0,29/09/24,PS5,Expert,20,ea sport fc continuité mode carrière améliorer problème prix a rigueur si jeu euro max mi car améliorations nouveautés assez léger ensemble cela reste bon ea sport fc,0,0.0,neutre,0.0,neutre
"Bon vu les notes j'ai au moins dire des choses vrai. Le gameplay est assez lourd mais c'est ce qu'on appelle de la simulation de football... Malgré tout il y a eu des rajouts et les développeurs ont su entendre des joueurs sur certaines choses... Je trouve les notes très dur ! Chaque année ya des mécontents ils assassinent avec leur note mais reviennent chaque année (pigeon.fr) moi je dis que le jeu est bien fait, la carrière est très sympa comme toujours et le mode rush amène les jeunes a être plus dans le développement, on y consacre + de temps et sa c'est une très bonne chose !15/20 pour ma part ! C'est une note plus que bien pour l'attente que j'en avais 🙂",15,1.0,30/09/24,PS5,Novice,20,bon vu note moins dire choses vrai gameplay assez lourd appelle simulation football malgré tout a rajouts développeurs su entendre joueurs certaines choses trouve note très dur chaque année ya mécontents assassinent note reviennent chaque année pigeon fr dis jeu bien fait carrière très sympa comme toujours mode rush amène jeunes a être plus développement consacre temp très bonne chose part note plus bien attente,0,0.0,neutre,-0.5423,négatif
"EAFC25 en carrière offline = bonne simulation si l'on se donne la peine de toucher aux sliders (en espérant ne pas avoir de MAJ qui ruinerait tout). Avec une vraie évolution par rapport à EAFC24 notamment dans les duels, les centres IA....(pour le moment). En FUT et mode online = je m'en tape car je ne suis ni de la génération Pokémon, ni de celle d'Olive et Tom.Bref, je ne jette pas la pierre à EA car le but d'une entreprise est de faire du profit. S'ils y parviennent en développant le jeu des 7 familles ou en mettant un gameplay à 100 à l'heure pour les fous de la gâchette sous cocaïne, ma foi... Tant pis pour le vieux con que je suis, qui ne peut que pleurer devant le potentiel non exploité. Potentiel qui pourrait mener à une véritable simulation de foot aboutie.En attendant, je prends un certain plaisir, voir un plaisir certain. Donc ce sera 15/20.PS : il faudra quand même qu'on m'explique l'intérêt de bombarder un jeu de tas de 0/20. Il y a quand même un panel de notes de 0 à 20 pour donner une idée juste avec un avis étayé. Même si dans le cas présent, le problème est d'avoir plusieurs jeux en un (avec ou sans utilisation des sliders, off- ou online...).",15,3.0,14/10/24,PS5,Novice,20,eafc carrière offline bonne simulation si donne peine toucher slider espérant avoir maj ruinerait tout vraie évolution rapport eafc notamment duel centre ia moment mode online tape car ni génération pokémon ni celle olive tom bref jette pierre ea car but entreprise faire profit parviennent développant jeu familles mettant gameplay heure fous gâchette sou cocaïne foi tant pi vieux con peut pleurer devant potentiel non exploité potentiel pourrait mener véritable simulation foot aboutie attendant prends certain plaisir voir plaisir certain donc p faudra quand explique intérêt bombarder jeu ta a quand panel note donner idée juste avis étayé si ca présent problème avoir plusieurs jeux sans utilisation slider off online,0,0.20952380952380953,positif,0.8248,positif
"Très bon jeu de foot pour ma part je joue en simulation et c’est vraiment pas mal . Moins d’effort ping pong comme le 24 où l’on passait d’un but à l’autre en 2 seconde La le jeu est plus posé .Des points en moins pour la ligue 1 qui n’a pas son habillage , Luis Enrique encore le seul coach actuellement de ligue 1 et Brésil et Belgique comme nation absente .",14,8.0,25/10/24,PS5,Novice,20,très bon jeu foot part joue simulation vraiment mal moins effort ping pong comme où passait but autre seconde jeu plus posé point moins ligue a habillage luis enrique encore seul coach actuellement ligue brésil belgique comme nation absente,0,0.0,neutre,0.0,neutre
"Je donne toujours des notes de chiotte au ex-fifa, car depuis le 13 et 17 beiiii c'était vraiment de la merde surtout le 20-21-22-23.Mais ici ça passe, même si il est vrai que le seul mode de jeu qui m’intéresse est le mode carrière, partir d'une D4 Anglaises et essayer d'arriver le plus haut.Il y a encore énormément de défaut, des transferts qui sont un peu à l'ouest (arriver à amener 4 joueurs 75-77 en D4 .... ) , pas assez d’entraîneurs modélisé car en D4 c'est toujours les 4 mêmes pnj têtes de cons qui viennent en négociation alors là niveau immersion ça ne le fait pas, il n'y a pas beaucoup de facilité de visionnage de stats et quand elles sont là ou surtout absente, une interface très brouillonne et peu engageante.Quoi que soit les preset une IA aux fraises, l'équipe IA qui arrive au abords de ton rectangle et retourne en arrière et se fait mille et une passe et refuse le jeu quasiment tout le temps même en mode Champion à part de rare fois quand une stats caché comme ""équipe rivale"" est présente.Beaucoup de niveau de difficulté aux choix mais entre un palier trop de différence que ce soit vers le haut (c'est plus un jeu de foot, c'est juste un jeu) et une IA qui triche , que ce soit vers le bas avec une IA très conne et des modes qui ne servent à rien (Difficulté Pro c'est aussi naze que les 4 niveau de difficulté vers le bas)Par contre la pub, là c'est complètement déconné , ça n'a absolument rien à foutre là ! Je suis assez rancunier, venir me faire chier avec de la pub dans un jeu, c'est boycot direct, je n’achèterai jamais ces casques audio dont je tairais la marque pour ne pas leur faire de la pub.A coté de ça on a un gameplay encourageant, avec une option preset de base simulation ce qui est déjà bien mais qui est à amélioré au fil du temps pour être au mieux personnalisé a son propre gameplay.Les djeuns qu'on peut enfin jouer de temps en temps et voir grandir.Les joueurs qui s'améliore (même si la j'aimerai avoir un tableau de son parcours et de son évolution au fil des mois-ans) En dehors de ça, j'ai essayé le mode RUN , il est fun , c'est un autre jeu on va dire , EA n'y peut rien mais sa communauté est complètement toxique (RIP M'sieur Quinton qui veut faire du beau football, petit ange parti trop tôt    ), tu prend deux goals ta un joueur qui va plus bouger du tout et attendre la fin du match , un joueur en moins tu en prend pleins la gueule .... des Thuram (oui c'est assez bizarre mais les pires c'est quasi toujours avec lui) qui prenne la balle et parte seule car il se croient invincible .... etc etc heureusement me^me si c'est rare tu tombes des fois sur des bons joueurs qui vont chercher dès la sélection les points au max en répondant aux demandes du jeu et qui sur le terrain joue en collectif , d’ailleurs la base du jeu si ta team joue en collectif tu gagnes 90% des matchs.Autre bémol à ce mode Rush c'est les joueuses qui sont trop mega pété en agilité réactivité etc c'est déconné.Voilà, une édition plus sage et qui du coup n'est pas vraiment appréciés, surtout par les joueurs de FUT et autres Streamer ""J'en ai marre du jeu"" qui passe plus de 20h dessus par jour.",14,2.0,22/11/24,PS5,Novice,20,donne toujours note chiotte ex fifa car depuis beiiii vraiment merde surtout ici ça passe si vrai seul mode jeu intéresse mode carrière partir anglaises essayer arriver plus haut a encore énormément défaut transferts peu ouest arriver amener joueurs assez entraîneurs modélisé car toujours mêmes pnj têtes con viennent négociation alors là niveau immersion ça fait a beaucoup facilité visionnage stats quand elles là surtout absente interface très brouillonne peu engageante quoi preset ia fraise équipe ia arrive abords rectangle retourne arrière fait mille passe refuse jeu quasiment tout temp mode champion part rare fois quand stats caché comme équipe rivale présente beaucoup niveau difficulté choix entre palier trop différence vers haut plus jeu foot juste jeu ia triche vers ba ia très conne mode servent rien difficulté pro aussi naze niveau difficulté vers ba contre pub là complètement déconné ça a absolument rien foutre là assez rancunier venir faire chier pub jeu boycot direct achèterai jamais casque audio dont tairais marque faire pub a coté ça a gameplay encourageant option preset base simulation déjà bien amélioré fil temp être mieux personnalisé a propre gameplay djeuns peut enfin jouer temp temp voir grandir joueurs améliore si aimerai avoir tableau parcours évolution fil mois an dehors ça essayé mode run fun autre jeu va dire ea peut rien communauté complètement toxique rip sieur quinton veut faire beau football petit ange parti trop tôt prend deux goal joueur va plus bouger tout attendre fin match joueur moins prend pleins gueule thuram oui assez bizarre pires quasi toujours prenne balle parte seule car croient invincible etc etc heureusement si rare tombes fois bons joueurs vont chercher dès sélection point max répondant demandes jeu terrain joue collectif ailleurs base jeu si team joue collectif gagnes match autre bémol mode rush joueuses trop mega pété agilité réactivité etc déconné voilà édition plus sage coup vraiment appréciés surtout joueurs autres streamer marre jeu passe plus h dessus jour,0,-0.02857142857142858,neutre,0.4404,positif
"Je pense qu'il important de rétablir la vérité concernant FC25, ce n'est pas un mauvais jeu, c'est même l'un des meilleurs FIFA depuis longtemps, alors est-ce que c'est suffisant ? Le jeu est-il parfait, ne serait-ce que très bon ? NON.Je ne jette pas la pierre à ceux qui mettent des 0 ou des 1 au jeu, même si ce n'est pas objectif, c'est tout ce que mérite EA pour nous vendre des maj depuis 10 ans, pour vous donner une image on peut estimer que le passage de fifa 23 à FC 24 peut être comparé à un passage d'une version 1.23 à 1.24, concernant le passage de FC24 à FC25 c'est un passage d'une version 1.24 à 2.0, alors non je dis pas que c'est super, que le jeu est incroyable, mais des efforts ont été fourni cette année, toujours insuffisant mais largement supérieur à ce que EA nous a habitué.Je ne suis pas un gros joueur de FUT, mais concernant le mode carrière de vrais efforts ont été fait concernant la modélisation des joueurs, la personnalisation du mode carrière est très intéréssante, on peut vraiment changer beaucoup de variable, comme empêcher les licenciement, joueur en mode normal ou simulation, améliorer ou diminuer le développement des joueurs jeunes ou âgés. Alors face à la difficulté pour EA de faire un mode carrière réaliste, ils laissent le choix aux joueurs de décider à leur place, certes c'est un aveu de faiblesse mais au moins ils n'imposent pas un mode carrière mal foutu.Le centre de formation, bon y'a de nouveaux pays etc, les tournois jeunes mais en soit c'est assez anecdotique finalement, les tournois ont les fait au début mais faire 4 matchs tous les 2 mois au bout d'une ou deux saisons vous en aurez marre, après cela peut trouver une meilleur utilité en jouant avec des petits clubs qui comptent beaucoup sur le centre de formation.La plus grande amélioration elle est au niveau du gameplay, en particulier le mode simulation que si rapproche vraiment d'un vrai match de foot, le jeu est plus lent, il faut construire, ce n'est pas tout pour l'attaque, parfois il faut redescendre, faire tourner, écarter les lignes, donc un aspect stratégique bien plus présent qu'auparavant, défensivement l'IA est bien plus solide, les blocs sont compacts, les joueurs qui sont pris de vitesse reviennent rapidement, peu d'espace et quand il y'en a ça ne finit pas obligatoirement en 1V1 contre le gardien.Par contre offensivement l'IA a beaucoup plus de difficultés, peu inspirés il est beaucoup plus facile de défendre, les occasions les plus durs à appréhender sont des contres favorables pour l'adversaire car il y'a toujours ces problèmes où lorsque vos joueurs sont sous pression c'est impossible de dégager normalement la balle à cause de toutes les micro-animations mal faites ce qui fait que quand vous défendez et êtes à deux doigts de récupérer la balle, au lieu de dégager directement le joueur va à la fois être gêné par l'adversaire, faire des 2-3 micro gestes et va perdre le ballon, c'est vraiment un problème à régler les animations.Ensuite les gardiens, c'est à la fois mieux et pire, autant par moment ils font des très beaux arrêts, autant ils sont capables de faire vraiment n'importe quoi.Pour conclure rapidement, ce n'est toujours pas un grand jeu de football, beaucoup de choses à améliorer encore, beaucoup d'ajouts qu'on attend en mode carrière (interviews plus réalistes, négociations de contrat plus complexes, prix des joueurs plus réalistes, petites emissions comme dans 2k,...) mais des efforts supérieurs ont été fait cette année contrairement aux années précédentes, c'est insuffisant certes, mais au lieu de les démonter je trouve qu'il est plus productifs de les encourager dans cette voie et montrer à EA qu'on est hypé quand ils font de vrais efforts qui se voient.",13,3.0,09/10/24,PS5,Novice,20,pense important rétablir vérité concernant fc mauvais jeu meilleurs fifa depuis longtemps alors suffisant jeu parfait très bon non jette pierre ceux mettent jeu si objectif tout mérite ea vendre maj depuis an donner image peut estimer passage fifa fc peut être comparé passage version concernant passage fc fc passage version alors non dis super jeu incroyable effort fourni cette année toujours insuffisant largement supérieur ea a habitué gros joueur concernant mode carrière vrais effort fait concernant modélisation joueurs personnalisation mode carrière très intéréssante peut vraiment changer beaucoup variable comme empêcher licenciement joueur mode normal simulation améliorer diminuer développement joueurs jeunes âgés alors face difficulté ea faire mode carrière réaliste laissent choix joueurs décider place certes aveu faiblesse moins imposent mode carrière mal foutu centre formation bon a nouveaux pay etc tournois jeunes assez anecdotique finalement tournois fait début faire match tous mois bout deux saisons marre après cela peut trouver meilleur utilité jouant petits club comptent beaucoup centre formation plus grande amélioration niveau gameplay particulier mode simulation si rapproche vraiment vrai match foot jeu plus lent faut construire tout attaque parfois faut redescendre faire tourner écarter ligne donc aspect stratégique bien plus présent auparavant défensivement ia bien plus solide bloc compact joueurs pris vitesse reviennent rapidement peu espace quand a ça finit obligatoirement v contre gardien contre offensivement ia a beaucoup plus difficultés peu inspirés beaucoup plus facile défendre occasion plus durs appréhender contres favorables adversaire car a toujours problèmes où lorsque joueurs sou pression impossible dégager normalement balle cause toutes micro animation mal faites fait quand défendez deux doigts récupérer balle lieu dégager directement joueur va fois être gêné adversaire faire micro gestes va perdre ballon vraiment problème régler animation ensuite gardiens fois mieux pire autant moment font très beau arrêts autant capables faire vraiment importe quoi conclure rapidement toujours grand jeu football beaucoup choses améliorer encore beaucoup ajouts attend mode carrière interview plus réalistes négociations contrat plus complex prix joueurs plus réalistes petite emission comme k effort supérieurs fait cette année contrairement années précédentes insuffisant certes lieu démonter trouve plus productifs encourager cette voie montrer ea hypé quand font vrais effort voient,0,0.06944444444444446,neutre,0.8316,positif
Jeu réaliste dans l'ensemble mais trop de bug et le jeu est trop lentLes défenseur a 60 de vitesse qui rattrape des joueurs avec 90 de vitesse se n'est pas possible il faut qu'il corrige ça,10,1.0,28/09/24,PS5,Novice,20,jeu réaliste ensemble trop bug jeu trop lentles défenseur a vitesse rattrape joueurs vitesse possible faut corrige ça,2,0.0,neutre,0.0,neutre
"De FIFA 18 à FC 25, rien ne change, c'est comme acheter un iPhone tous les ans. FC 25 est une vraie déception, le jeu est vraiment au plus bas !",0,1.0,01/10/24,PS5,Novice,20,fifa fc rien change comme acheter iphone tous an fc vraie déception jeu vraiment plus ba,0,0.0,neutre,0.0,neutre
"Gameplay horrible, aucun changement, rival injouable.Point fort :- Bonne idée avec le mode rush- Animation packPoint faible :- Le jeu",0,1.0,28/09/24,PS5,Novice,20,gameplay horrible aucun changement rival injouable point fort bonne idée mode rush animation packpoint faible jeu,0,-1.0,négatif,-0.5423,négatif
"Alors que dire de ce FC 25 qui n'est rien d'autre qu'une mise à jour ratée du 24, qui est lui-même une mise à jour ratée de FIFA 23, qui lui, est une mise à jour ratée de FIFA 22, qui est une mise à jour ratée de FIFA 18  ?Un jeu toujours aussi éclaté. Des scripts en veux tu en voilà. Des joueurs lourds à diriger. Il faut passer le CACES R482 avant de pouvoir jouer à ce jeu Il est toujours impossible de tacler des joueurs à cause du moteur de collision qui a été codé par un dev sous champi' Essayez de tacler un joueur adverse qui rentre dans la surface. C'est tout bonnement impossible. Soit vos défenseurs vont se mettre à défendre comme des semi-mongoliens finis à la pisse. Soit le joueur adverse va résister à un tacle de boucher Mais ces Canadien d'EA Sports vont oser dire ""Non le script n'existe pas. C'est un fantasme ""Pardon, je m'égare Faites comme moi, n'achetez pas ce jeu. D'ailleurs j'avais écris ce test pour FC 24, mais on me l'a supprimé. J'espère que celui-ci restera à en ligne A l'année prochaine pour mon prochain copier/coller sur FC 26",0,12.0,29/09/24,PS5,Actif,20,alors dire fc rien autre mise jour ratée mise jour ratée fifa mise jour ratée fifa mise jour ratée fifa jeu toujours aussi éclaté script veux voilà joueurs lourds diriger faut passer caces r avant pouvoir jouer jeu toujours impossible tacler joueurs cause moteur collision a codé dev sou champi essayez tacler joueur adverse rentre surface tout bonnement impossible défenseurs vont mettre défendre comme semi mongoliens finis pisse joueur adverse va résister tacle boucher canadien ea sport vont oser dire non script existe fantasme pardon égare faites comme achetez jeu ailleurs écris test fc a supprimé espère celui ci restera ligne a année prochaine prochain copier coller fc,0,-0.6666666666666666,négatif,-0.8934,négatif
"En Attendant ""UFL FOOTBALL"" (Si pas Repoussé) Le 5 Decembre 2024, Et Etant Donné Que ""Football Life (Le Meilleur)"" N'est Dispo Que Sur PC, REVENEZ DONC SUR FiFA 23 C'est Mieux !!!!!!!!...",0,1.0,28/09/24,PS5,Novice,20,attendant ufl football si repoussé decembre etant donné football life meilleur dispo pc revenez donc fifa mieux,4,0.2,positif,0.0,neutre
Bug de serveurs au lancement comme chaque année pour payer aucun soucis mais pour le reste c'est du EA de la grosse loose ! Et pour ceux qui est du jeu lui même encore et toujours du script et juste une mise a jours d'équipe rien de mieux que d'habitude on nous prend pour des cons !,0,1.0,27/09/24,PS5,Novice,20,bug serveurs lancement comme chaque année payer aucun soucis reste ea grosse loose ceux jeu encore toujours script juste mise a jours équipe rien mieux habitude prend con,0,-0.07692307692307693,neutre,-0.3182,négatif
"Toujours le même jeux revendu chaque année mise a part quelques nouveauté insignifiante, comme le mode Rush et une refonte du système tactique.Bien évidement toujours les mêmes bugs des précèdent opus.Une honte.",2,27.0,27/09/24,PS5,Actif,20,toujours jeux revendu chaque année mise a part quelques nouveauté insignifiante comme mode rush refonte système tactique bien évidement toujours mêmes bug précèdent opus honte,3,0.0,neutre,0.0,neutre
"1/20 car exactement le même jeu que l’année passée, aucun changement sur le gameplay c’est si vide..Je me demande comment on peut pondre des choses comme ça, plus les années passent moins il y’a de licence.J’espère que une concurrence plus rude apparaîtra",1,32.0,27/09/24,PS5,Expert,20,car exactement jeu année passée aucun changement gameplay si vide demande comment peut pondre choses comme ça plus années passent moins a licence espère concurrence plus rude apparaîtra,0,-0.3,négatif,-0.4588,négatif
"Marre... Un ras le bol sans nom.    Le football, sport le plus populaire au monde, n'aura donc jamais plus jamais droit à un jeu qui lui rende honneur, une vraie simulation comme nous en avions jadis ? Fan de ce sport, sommes nous voués à ne devoir composer qu'avec du médiocre comme ce que nous propose EA sports depuis maintenant de trop nombreuses années ?Comme d'habitude désormais, en quelques heures  de jeu, la messe est dite et tu comprends que tu ne prendras aucun plaisir à enchaîner les matchs, tellement ils se ressemblent tous, tellement c'est scripté, tellement ça ressemble plus à du flipper qu'à du football. Dégoûté... Le football mérite mieux que ça.",0,11.0,28/09/24,PS5,Actif,20,marre ra bol sans nom football sport plus populaire monde donc jamais plus jamais droit jeu rende honneur vraie simulation comme jadis fan sport voués devoir composer médiocre comme propose ea sport depuis maintenant trop nombreuses années comme habitude désormais quelques heures jeu messe dite comprends prendras aucun plaisir enchaîner match tellement ressemblent tous tellement scripté tellement ça ressemble plus flipper football dégoûté football mérite mieux ça,0,0.0,neutre,0.3182,positif
"Je donne 2/20 cette année comparé au 0 pour fc24 qui était le pire jeu de foot jamais conçu. 1 pour le mode rush et 1 autre pcq ils ont essayé de ralentir la vitesse du gameplay et la précision des gestes difficiles.Mais à côté de ça, il y a bcp mais bcp trop de bug dans le jeu même (menu, connexion,..) que dans le gameplay lui même. Les L1, les contres qui sont mais d'une abomination cette année, le fait de ne plus être avantagé sur aucun match si on essaye de construire etc et j'en passeÇa fait depuis fifa 12 que je joue au jeu en l'aimant ou en l'aimant pas mais je pense que cette année il ne va pas dépasser le mois d'octobre. C'est dommage pour les fans de foot qui ont juste envie d'un jeu potable. Pour les personnes qui veulent éviter les crises de nerfs, ne l'acheter pas.",2,1.0,28/09/24,PS5,Novice,20,donne cette année comparé fc pire jeu foot jamais conçu mode rush autre pcq essayé ralentir vitesse gameplay précision gestes difficiles côté ça a bcp bcp trop bug jeu menu connexion gameplay contres abomination cette année fait plus être avantagé aucun match si essaye construire etc passeça fait depuis fifa joue jeu aimant aimant pense cette année va dépasser mois octobre dommage fan foot juste envie jeu potable personnes veulent éviter crisis nerfs acheter,0,0.0,neutre,-0.4215,négatif
"Une mise a jours mineur à 70 euros, qui a empiré le jeu, impossible de finir une partie sans avoir un crash de serveur sur ps5. C'est de pire en pire FIFA.",0,20.0,28/09/24,PS5,Actif,20,mise a jours mineur euro a empiré jeu impossible finir partie sans avoir crash serveur p pire pire fifa,2,-0.6666666666666666,négatif,-0.4019,négatif
"Un ramassis de bugs, seul le mode rush est nouveau et intéressant. Serveurs surchargés, menus qui plantent. Les mecs bugs depuis 4 ou 5 ans, rien de corrigé !!! une énième arnaque à fuir !!!",3,2.0,27/09/24,PS5,Novice,20,ramassis bug seul mode rush nouveau intéressant serveurs surchargés menu plantent mecs bug depuis an rien corrigé énième arnaque fuir,3,0.0,neutre,0.0,neutre
"d année en année se jeu me decoit , jeu lent peut importe si tu as le joueur le plus rapide , des actions de jeu incoherent et j en passe , des fautes commises sans çetres sifflés , bref c est un jeu cher pour ce qu il propose , avis au nerveux ne l acheter pas a mois d avoir un stock de mannettes a casser",1,,21/10/24,PS5,Novice,20,année année jeu decoit jeu lent peut importe si joueur plus rapide action jeu incoherent passe fautes commises sans çetres sifflés bref jeu cher propose avis nerveux acheter a mois avoir stock mannettes a casser,0,-0.05000000000000002,neutre,0.0,neutre
